1,3
0,2,4
1,4
0,4
1,2,3
1,12,13
2,14,15
2,16,17
3,18,19
3,20,21
4,22,23
4,24,25
5,26,27
5,28,29
6,30,31
6,32,33
7,34,35
7,36,37
8,38,39
8,40,41
9,42,43
9,44,45
10,46,47
10,48,49
11,50,51
11,52,53
12,54,55
12,56,57
13,58,59
13,60,61
14,62,63
14,64,65
15,66,67
15,68,69
16,70,71
16,72,73
17,74,75
17,76,77
18,78,79
18,80,81
19,82,83
19,84,85
20,86,87
20,88,89
21,90,91
21,92,93
22,94,95
22,96,97
23,98,99
23,0,1
24,2,3
25,4,5
26,6,7
27,8,9
28,10,11
29,12,13
30,14,15
31,16,17
32,18,19
33,20,21
34,22,23
35,24,25
36,26,27
37,28,29
38,30,31
39,32,33
40,34,35
41,36,37
42,38,39
43,40,41
44,42,43
45,44,45
46,46,47
47,48,49
48,0,1
49,2,3
0,3,4
1,4,5
2,5,6
3,6,7
4,7,8
5,8,9
6,9,10
7,10,11
8,11,12
9,12,13
10,13,14
11,14,15
12,15,16
13,16,17
14,17,18
15,18,19
16,19,20
17,20,21
18,21,22
19,22,23
20,23,24
21,24,25
22,25,26
23,26,27
